First_Name,Last_Name,Room_Type,Smoking,Check_in_Date,Check_out_Date,Days,Number_of_Guests,Number_of_Adults,Shuttle_Service,Pick_up_Location,Pick_up_Date,Pick_up_Time,Lease_Pocket_Wifi_($5),Total_Amount,State_or_Province,Postal_or_Zip Code,Street_Address,City,Street Address Line 2,Email,Mobile,Home,Notes
John,Smith,King ($210),No,11-11-2021,11-13-2021,2,3,2,Yes,LAX,12-12-2019,18:20,Yes,$1230,CA,90248,2407 Armbrester Drive Gardena,,,robertbrainard@example.com,(555) 5555555,(555) 5555555,
Joseph,Hall,Single ($100),No,11-12-2021,11-21-2021,9,1,1,Yes,LAX,10-27-2020,14:30,Yes,$ 505,FL,32810,901 Stoneybrook Road,Orlando,,tamara@example.com,(456) 789-3756,(289) 745-9024,
Sandra,Bennett,King ($210),No,11-13-2021,11-16-2021,3,2,3,No,LAX,10-28-2020,07:00,No,$ 420,CA,94111,111 Pine Street,San Francisco,Suite 1815,john@example.com,(453) 534-6757,(868) 545-6468,
Robert,Brainard,Queen ($200),No,11-14-2021,11-17-2021,3,2,3,Yes,LAX,12-16-2020,02:30,Yes,$ 840,NJ,8033,533 Lee Avenue,Haddonfiel,,joseph@example.com,(555) 555-5555,(555) 555-5555,
Proma,Mondal,Queen ($200),yes,11-15-2021,11-20-2021,5,3,3,Yes,LAX,11-25-2019,13:30,Yes,$860,ME,4493,597 Fantages Way,West Enfield,,sandra@example.com,(555) 5555555,(555) 5555555,2 french bed
Tamala,Grillo,Suite ($500),Yes,11-16-2021,11-18-2021,2,3,2,Yes,LAX,12-12-2019,18:20,Yes,$1230,CA,90248,2407 Armbrester Drive Gardena,,,robertbrainard@example.com,(555) 5555555,(555) 5555555,
John,Smith,King ($210),No,11-17-2021,11-23-2021,6,1,1,Yes,LAX,10-27-2020,14:30,Yes,$ 505,FL,32810,901 Stoneybrook Road,Orlando,,tamara@example.com,(456) 789-3756,(289) 745-9024,
Joseph,Hall,Single ($100),No,11-18-2021,11-21-2021,3,2,3,No,LAX,10-28-2020,07:00,No,$ 420,CA,94111,111 Pine Street,San Francisco,Suite 1815,john@example.com,(453) 534-6757,(868) 545-6468,
Sandra,Bennett,King ($210),No,11-19-2021,11-22-2021,3,2,3,Yes,LAX,12-16-2020,02:30,Yes,$ 840,NJ,8033,533 Lee Avenue,Haddonfiel,,joseph@example.com,(555) 555-5555,(555) 555-5555,
Robert,Brainard,Queen ($200),No,11-20-2021,11-24-2021,4,3,3,Yes,LAX,11-25-2019,13:30,Yes,$860,ME,4493,597 Fantages Way,West Enfield,,sandra@example.com,(555) 5555555,(555) 5555555,2 french bed
Proma,Mondal,Queen ($200),yes,11-21-2021,11-23-2021,2,3,2,Yes,LAX,12-12-2019,18:20,Yes,$1230,CA,90248,2407 Armbrester Drive Gardena,,,robertbrainard@example.com,(555) 5555555,(555) 5555555,
Tamala,Grillo,Suite ($500),Yes,11-22-2021,11-25-2021,3,1,1,Yes,LAX,10-27-2020,14:30,Yes,$ 505,FL,32810,901 Stoneybrook Road,Orlando,,tamara@example.com,(456) 789-3756,(289) 745-9024,
John,Smith,King ($210),No,11-23-2021,11-26-2021,3,2,3,No,LAX,10-28-2020,07:00,No,$ 420,CA,94111,111 Pine Street,San Francisco,Suite 1815,john@example.com,(453) 534-6757,(868) 545-6468,
Joseph,Hall,Single ($100),No,11-24-2021,12-03-2021,9,2,3,Yes,LAX,12-16-2020,02:30,Yes,$ 840,NJ,8033,533 Lee Avenue,Haddonfiel,,joseph@example.com,(555) 555-5555,(555) 555-5555,
Sandra,Bennett,King ($210),No,11-24-2021,12-01-2021,7,3,3,Yes,LAX,11-25-2019,13:30,Yes,$860,ME,4493,597 Fantages Way,West Enfield,,sandra@example.com,(555) 5555555,(555) 5555555,2 french bed
Robert,Brainard,Queen ($200),No,11-25-2021,11-27-2021,2,3,2,Yes,LAX,12-12-2019,18:20,Yes,$1230,CA,90248,2407 Armbrester Drive Gardena,,,robertbrainard@example.com,(555) 5555555,(555) 5555555,
Proma,Mondal,Queen ($200),yes,11-25-2021,11-28-2021,3,1,1,Yes,LAX,10-27-2020,14:30,Yes,$ 505,FL,32810,901 Stoneybrook Road,Orlando,,tamara@example.com,(456) 789-3756,(289) 745-9024,
Tamala,Grillo,Suite ($500),Yes,11-26-2021,12-03-2021,7,2,3,No,LAX,10-28-2020,07:00,No,$ 420,CA,94111,111 Pine Street,San Francisco,Suite 1815,john@example.com,(453) 534-6757,(868) 545-6468,
John,Smith,King ($210),No,11-26-2021,11-29-2021,3,2,3,Yes,LAX,12-16-2020,02:30,Yes,$ 840,NJ,8033,533 Lee Avenue,Haddonfiel,,joseph@example.com,(555) 555-5555,(555) 555-5555,
Joseph,Hall,Single ($100),No,11-27-2021,11-29-2021,2,3,3,Yes,LAX,11-25-2019,13:30,Yes,$860,ME,4493,597 Fantages Way,West Enfield,,sandra@example.com,(555) 5555555,(555) 5555555,2 french bed
Sandra,Bennett,King ($210),No,11-27-2021,12-05-2021,8,3,2,Yes,LAX,12-12-2019,18:20,Yes,$1230,CA,90248,2407 Armbrester Drive Gardena,,,robertbrainard@example.com,(555) 5555555,(555) 5555555,
Robert,Brainard,Queen ($200),No,11-28-2021,12-01-2021,3,1,1,Yes,LAX,10-27-2020,14:30,Yes,$ 505,FL,32810,901 Stoneybrook Road,Orlando,,tamara@example.com,(456) 789-3756,(289) 745-9024,
Proma,Mondal,Queen ($200),yes,11-28-2021,12-03-2021,5,2,3,No,LAX,10-28-2020,07:00,No,$ 420,CA,94111,111 Pine Street,San Francisco,Suite 1815,john@example.com,(453) 534-6757,(868) 545-6468,
Tamala,Grillo,Suite ($500),Yes,11-28-2021,12-01-2021,3,2,3,Yes,LAX,12-16-2020,02:30,Yes,$ 840,NJ,8033,533 Lee Avenue,Haddonfiel,,joseph@example.com,(555) 555-5555,(555) 555-5555,
John,Smith,King ($210),No,11-29-2021,12-03-2021,4,3,3,Yes,LAX,11-25-2019,13:30,Yes,$860,ME,4493,597 Fantages Way,West Enfield,,sandra@example.com,(555) 5555555,(555) 5555555,2 french bed
Joseph,Hall,Single ($100),No,11-29-2021,12-01-2021,2,3,2,Yes,LAX,12-12-2019,18:20,Yes,$1230,CA,90248,2407 Armbrester Drive Gardena,,,robertbrainard@example.com,(555) 5555555,(555) 5555555,
Sandra,Bennett,King ($210),No,11-29-2021,12-03-2021,4,1,1,Yes,LAX,10-27-2020,14:30,Yes,$ 505,FL,32810,901 Stoneybrook Road,Orlando,,tamara@example.com,(456) 789-3756,(289) 745-9024,
Robert,Brainard,Queen ($200),No,11-30-2021,12-02-2021,3,2,3,No,LAX,10-28-2020,07:00,No,$ 420,CA,94111,111 Pine Street,San Francisco,Suite 1815,john@example.com,(453) 534-6757,(868) 545-6468,
Proma,Mondal,Queen ($200),yes,11-30-2021,12-03-2021,3,2,3,Yes,LAX,12-16-2020,02:30,Yes,$ 840,NJ,8033,533 Lee Avenue,Haddonfiel,,joseph@example.com,(555) 555-5555,(555) 555-5555,
Tamala,Grillo,Suite ($500),Yes,11-30-2021,12-02-2021,2,3,3,Yes,LAX,11-25-2019,13:30,Yes,$860,ME,4493,597 Fantages Way,West Enfield,,sandra@example.com,(555) 5555555,(555) 5555555,2 french bed
John,Smith,King ($210),No,11-30-2021,12-05-2021,5,3,2,Yes,LAX,12-12-2019,18:20,Yes,$1230,CA,90248,2407 Armbrester Drive Gardena,,,robertbrainard@example.com,(555) 5555555,(555) 5555555,
